experiment_id,date,strategy_name,strategy_type,assets_or_universe,parameters,evaluation_split,score,ann_sharpe,mean_daily_pl,max_drawdown,total_dvolume,notes,result_path
pairs_top_3_beta_hedged_final_test,2026-07-25,pairs_top_3_rolling_beta,beta-hedged rolling pairs,EELT-CTGI; NGTE-EORC; RTTH-NAYO,window=250; entry_z=0.50; exit_z=0.10; max_hold=none,days 701-1000,80.957,2.897,90.60,-4514.49,2127609.92,12 pairs were found first; this top-N test uses validation leave-one-out ranking,
pairs_top_5_beta_hedged_final_test,2026-07-25,pairs_top_5_rolling_beta,beta-hedged rolling pairs,EELT-CTGI; NGTE-EORC; RTTH-NAYO; SMAH-ILVX; ULXY-HETT,window=250; entry_z=0.50; exit_z=0.10; max_hold=none,days 701-1000,149.105,4.485,156.52,-3065.67,4142298.99,12 pairs were found first; this top-N test uses validation leave-one-out ranking,
pairs_top_8_beta_hedged_final_test,2026-07-25,pairs_top_8_rolling_beta,beta-hedged rolling pairs,EELT-CTGI; NGTE-EORC; RTTH-NAYO; SMAH-ILVX; ULXY-HETT; MHRM-EAFC; NWIG-AENO; HUXZ-ACAC,window=250; entry_z=0.50; exit_z=0.10; max_hold=none,days 701-1000,247.117,6.341,253.26,-2926.76,6916710.04,12 pairs were found first; this top-N test uses validation leave-one-out ranking,
pairs_top_9_beta_hedged_final_test,2026-07-25,pairs_top_9_rolling_beta,beta-hedged rolling pairs,EELT-CTGI; NGTE-EORC; RTTH-NAYO; SMAH-ILVX; ULXY-HETT; MHRM-EAFC; NWIG-AENO; HUXZ-ACAC; MTNS-MSDP,window=250; entry_z=0.50; exit_z=0.10; max_hold=none,days 701-1000,266.423,6.468,272.79,-3565.81,7723962.35,12 pairs were found first; this top-N test uses validation leave-one-out ranking,
pairs_top_10_beta_hedged_final_test,2026-07-25,pairs_top_10_rolling_beta,beta-hedged rolling pairs,EELT-CTGI; NGTE-EORC; RTTH-NAYO; SMAH-ILVX; ULXY-HETT; MHRM-EAFC; NWIG-AENO; HUXZ-ACAC; MTNS-MSDP; ACIX-ITPA,window=250; entry_z=0.50; exit_z=0.10; max_hold=none,days 701-1000,282.122,6.674,288.46,-3069.83,8492489.37,12 pairs were found first; this top-N test uses validation leave-one-out ranking,
pairs_top_11_beta_hedged_final_test,2026-07-25,pairs_top_11_rolling_beta,beta-hedged rolling pairs,EELT-CTGI; NGTE-EORC; RTTH-NAYO; SMAH-ILVX; ULXY-HETT; MHRM-EAFC; NWIG-AENO; HUXZ-ACAC; MTNS-MSDP; ACIX-ITPA; BLBT-FWWG,window=250; entry_z=0.50; exit_z=0.10; max_hold=none,days 701-1000,290.440,6.912,296.52,-3147.77,8935303.17,12 pairs were found first; this top-N test uses validation leave-one-out ranking,
pairs_top_12_beta_hedged_final_test,2026-07-25,pairs_top_12_rolling_beta,beta-hedged rolling pairs,EELT-CTGI; NGTE-EORC; RTTH-NAYO; SMAH-ILVX; ULXY-HETT; MHRM-EAFC; NWIG-AENO; HUXZ-ACAC; MTNS-MSDP; ACIX-ITPA; BLBT-FWWG; BENI-NPCK,window=250; entry_z=0.50; exit_z=0.10; max_hold=none,days 701-1000,280.641,6.603,287.08,-3352.60,9047157.20,full 12-pair reference portfolio before top-N comparisons,
pairs_12_fixed_beta_final_test,2026-07-25,pairs_12_fixed_beta,fixed-beta pairs,MHRM-EAFC; ACIX-ITPA; SMAH-ILVX; NWIG-AENO; HUXZ-ACAC; NGTE-EORC; ULXY-HETT; EELT-CTGI; MTNS-MSDP; RTTH-NAYO; BLBT-FWWG; BENI-NPCK,lookback=180; entry_z=0.50; exit_z=0.25; max_hold=none,days 701-1000,238.823,5.535,246.62,-2944.31,7971914.20,fixed-beta baseline,
pairs_top_11_equal_dollar_daily_refit_validation,2026-07-25,pairs_top_11_equal_dollar_rolling,equal-dollar rolling pairs,EELT-CTGI; NGTE-EORC; RTTH-NAYO; SMAH-ILVX; ULXY-HETT; MHRM-EAFC; NWIG-AENO; HUXZ-ACAC; MTNS-MSDP; ACIX-ITPA; BLBT-FWWG,lookback=250; refit_every=1 day; entry_z=0.50; exit_z=0.10; max_hold=none,days 501-700 (validation),399.450,7.880,405.89,-2500.91,7655117.00,baseline for execution-control comparisons; final test not yet recorded,
pairs_top_11_equal_dollar_5day_refit_validation,2026-07-25,pairs_top_11_equal_dollar_5day_refit,equal-dollar rolling pairs,EELT-CTGI; NGTE-EORC; RTTH-NAYO; SMAH-ILVX; ULXY-HETT; MHRM-EAFC; NWIG-AENO; HUXZ-ACAC; MTNS-MSDP; ACIX-ITPA; BLBT-FWWG,lookback=250; refit_every=5 days; entry_z=0.50; exit_z=0.10; max_hold=none,days 501-700 (validation),392.370,7.780,398.85,-2500.91,7576733.00,lower validation score than daily refit; final test not yet recorded,
