ticker_a,ticker_b,pair,return_correlation,eg_statistic,eg_pvalue,hedge_beta,intercept,adf_pvalue,half_life_days,zero_crossings,beta_cv,pair_key,diagnostic_score,candidate_stage,discovery_end_day
MHRM,EAFC,MHRM-EAFC,0.37516839229422316,-5.193247683963476,7.15313434518511e-05,0.9410360710467907,-0.47930500977565826,9.301392308206543e-06,6.7387701240569555,67,0.35513251659885003,EAFC | MHRM,0.5625,core,500
ACIX,ITPA,ACIX-ITPA,0.4374639224095,-4.656256090738107,0.0006702488470460461,0.9672961216034662,-0.08234697804890134,0.00010366124411862126,8.378203234138935,75,0.208097177684374,ACIX | ITPA,0.4791666666666667,core,500
SMAH,ILVX,SMAH-ILVX,0.2986533209523615,-5.958952088385889,1.989671651687511e-06,1.031073892389815,0.19264925686829842,2.1259397418372284e-07,5.199256460687775,86,0.3059880464747904,ILVX | SMAH,0.9199346405228758,validate_addition,500
NWIG,AENO,NWIG-AENO,0.25255253977188336,-5.814125778833305,4.042902852238828e-06,0.9932501636736041,0.09641466168262161,4.4634719239649364e-07,4.069624108649092,76,0.12724137317551876,AENO | NWIG,0.8937908496732027,validate_addition,500
HUXZ,ACAC,HUXZ-ACAC,0.24972191093638704,-5.540788600030766,1.4828700650024896e-05,1.0201391963766075,0.017596768557070867,1.7510391145970293e-06,5.978521931472552,83,0.1721304562190613,ACAC | HUXZ,0.8382352941176471,validate_addition,500
NGTE,EORC,NGTE-EORC,0.23096260345783823,-5.783504817793568,4.688464841225883e-06,0.9415290947059449,0.7160544503310546,5.224408977619424e-07,5.376365555248289,71,0.31141150288687897,EORC | NGTE,0.7663398692810457,validate_addition,500
ULXY,HETT,ULXY-HETT,0.14701890005810786,-5.6357682650478855,9.496164270101194e-06,0.8766674405488271,0.2295194412130829,1.0953539306083788e-06,5.725535964410942,75,0.2524573936807636,HETT | ULXY,0.738562091503268,validate_addition,500
EELT,CTGI,EELT-CTGI,0.2457876357966674,-5.500580859214301,1.7872671939533102e-05,0.7643518148777171,1.0694877201563033,2.1309356630460706e-06,6.120363615740122,78,0.3907948152064697,CTGI | EELT,0.7352941176470589,validate_addition,500
NWIG,CUBO,NWIG-CUBO,0.337828120233911,-3.9253644129548326,0.009148287324838718,-1.6493261087125244,12.747914879497117,0.001882767758285148,11.54212358414969,54,0.6200219335572236,CUBO | NWIG,0.7076271186440679,validate_addition,500
MTNS,MSDP,MTNS-MSDP,0.22787609964458827,-4.084700494906089,0.005417667808193863,0.2657426178095192,2.052681345689761,0.0010415075357591552,11.04741942004998,64,0.6672725776026968,MSDP | MTNS,0.6617231638418078,validate_addition,500
AENO,CUBO,AENO-CUBO,0.3719726910093381,-3.7143814410067417,0.01755971070621856,-1.6331018868920948,12.60175105006436,0.003965900974806456,12.869381343407769,55,0.6710169057724854,AENO | CUBO,0.655367231638418,validate_addition,500
NWIG,DUCT,NWIG-DUCT,0.2382290204160048,-4.110267408604662,0.0049685856744807536,1.0625880050902583,1.566097983887831,0.000945014534006899,10.465612179774702,73,0.3064687026630596,DUCT | NWIG,0.6274509803921569,validate_addition,500
MTNS,ALUT,MTNS-ALUT,0.11154877089789483,-4.240237007380426,0.0031674152573967986,0.33023998397842913,2.0139727224386546,0.0005710530891813549,10.887688679916495,58,0.7413198636834059,ALUT | MTNS,0.5833333333333334,validate_addition,500
RTTH,NAYO,RTTH-NAYO,0.22538546362495476,-4.474257764415138,0.001349542078845135,0.8453854790718072,0.6086394635199314,0.000222723492219731,10.15796000980506,62,0.4366489657300657,NAYO | RTTH,0.5669934640522875,validate_addition,500
BLBT,FWWG,BLBT-FWWG,0.37383515990401983,-4.294740064241098,0.0026091896617876187,0.9652280615439502,0.4218700435433032,0.0004613043800186673,9.905910059303244,44,0.5133358361274225,BLBT | FWWG,0.5408496732026143,validate_addition,500
RTTH,MSDP,RTTH-MSDP,0.23156440858674165,-3.5960853558918893,0.024776167421545172,0.5397840720200633,1.7802765681769883,0.00590939539341814,13.513399540577439,55,0.7533794256739852,MSDP | RTTH,0.518361581920904,validate_addition,500
BENI,NPCK,BENI-NPCK,0.33046575758157987,-3.660714121921053,0.02056759870310564,0.16332467709424348,2.888201878584839,0.004701176257057036,18.98302252590906,50,0.7066470111151976,BENI | NPCK,0.5141242937853107,validate_addition,500
NAYO,ACAC,NAYO-ACAC,0.0885191277742131,-4.328122577848625,0.0023136645566082382,0.3779029961849298,1.934749178310496,0.00040403942132250214,9.491685166137502,42,0.7754549430370978,ACAC | NAYO,0.5028248587570622,validate_addition,500
NAYO,RRES,NAYO-RRES,0.4133631986272344,-3.5172197414170348,0.030899122639652533,-0.1868504404576115,4.214970265439164,0.007654761089542041,13.593100423825218,36,0.697965250781977,NAYO | RRES,0.501412429378531,validate_addition,500
EAFC,BLBT,EAFC-BLBT,0.29549020332289344,-3.40411826271271,0.041895112287127244,1.77676882868202,-3.2148474643085847,0.010990191212699885,13.196162438747887,58,0.4358681607479613,BLBT | EAFC,0.4820261437908497,validate_addition,500
